database	gene_set	EntrezID	ensembl_gene_id
HALLMARK	ADIPOGENESIS	3679	ENSG00000135424
HALLMARK	ADIPOGENESIS	593	ENSG00000248098
HALLMARK	ADIPOGENESIS	3952	ENSG00000174697
HALLMARK	ADIPOGENESIS	79071	ENSG00000170522
HALLMARK	ADIPOGENESIS	4056	ENSG00000213316
HALLMARK	ADIPOGENESIS	1717	ENSG00000172893
HALLMARK	ADIPOGENESIS	8404	ENSG00000152583
HALLMARK	ADIPOGENESIS	55177	ENSG00000137824
HALLMARK	ADIPOGENESIS	23788	ENSG00000109919
HALLMARK	ADIPOGENESIS	65124	ENSG00000198142
HALLMARK	ADIPOGENESIS	6510	ENSG00000105281
HALLMARK	ADIPOGENESIS	718	ENSG00000125730
HALLMARK	ADIPOGENESIS	8802	ENSG00000163541
HALLMARK	ADIPOGENESIS	217	ENSG00000111275
HALLMARK	ADIPOGENESIS	2101	ENSG00000173153
HALLMARK	ADIPOGENESIS	400916	ENSG00000250479
HALLMARK	ADIPOGENESIS	204	ENSG00000004455
HALLMARK	ADIPOGENESIS	348	ENSG00000130203
HALLMARK	ADIPOGENESIS	29796	ENSG00000184076
HALLMARK	ADIPOGENESIS	26275	ENSG00000198130
HALLMARK	ADIPOGENESIS	50	ENSG00000100412
HALLMARK	ADIPOGENESIS	1031	ENSG00000123080
HALLMARK	ADIPOGENESIS	2184	ENSG00000103876
HALLMARK	ADIPOGENESIS	47	ENSG00000131473
HALLMARK	ADIPOGENESIS	8884	ENSG00000138074
HALLMARK	ADIPOGENESIS	8491	ENSG00000011566
HALLMARK	ADIPOGENESIS	84522	ENSG00000171135
HALLMARK	ADIPOGENESIS	2053	ENSG00000120915
HALLMARK	ADIPOGENESIS	3421	ENSG00000067829
HALLMARK	ADIPOGENESIS	84173	ENSG00000115459
HALLMARK	ADIPOGENESIS	5004	ENSG00000229314
HALLMARK	ALLOGRAFT_REJECTION	3824	ENSG00000134539
HALLMARK	ALLOGRAFT_REJECTION	6775	ENSG00000138378
HALLMARK	ALLOGRAFT_REJECTION	3117	ENSG00000196735
HALLMARK	ALLOGRAFT_REJECTION	958	ENSG00000101017
HALLMARK	ALLOGRAFT_REJECTION	3560	ENSG00000100385
HALLMARK	ALLOGRAFT_REJECTION	3702	ENSG00000113263
HALLMARK	ALLOGRAFT_REJECTION	7163	ENSG00000076554
HALLMARK	ALLOGRAFT_REJECTION	7903	ENSG00000113532
HALLMARK	ALLOGRAFT_REJECTION	3135	ENSG00000204632
HALLMARK	ALLOGRAFT_REJECTION	3937	ENSG00000043462
HALLMARK	ALLOGRAFT_REJECTION	3683	ENSG00000005844
HALLMARK	ALLOGRAFT_REJECTION	942	ENSG00000114013
HALLMARK	ALLOGRAFT_REJECTION	3001	ENSG00000145649
HALLMARK	ALLOGRAFT_REJECTION	3105	ENSG00000206503
HALLMARK	ALLOGRAFT_REJECTION	3603	ENSG00000172349
HALLMARK	ALLOGRAFT_REJECTION	6892	ENSG00000231925
HALLMARK	ALLOGRAFT_REJECTION	3662	ENSG00000137265
HALLMARK	ALLOGRAFT_REJECTION	3455	ENSG00000159110
HALLMARK	ALLOGRAFT_REJECTION	729230	ENSG00000121807
HALLMARK	ALLOGRAFT_REJECTION	3625	ENSG00000163083
HALLMARK	ALLOGRAFT_REJECTION	5699	ENSG00000205220
HALLMARK	ALLOGRAFT_REJECTION	8669	ENSG00000104131
HALLMARK	ALLOGRAFT_REJECTION	973	ENSG00000105369
HALLMARK	ALLOGRAFT_REJECTION	8664	ENSG00000100353
